Mike G,blacc,friday,werewolf,astute,pundit,callus,lavish,nicole,mist,erase,compassionate,christine,narrative,hyenas,rogue,tyler,appear,tryna,analyst,reverend,odd,entity,cycle,chaa,marksmanship,reattach,fonzy,contingency,salems,yesssss,750,bumblebees,mish,alife,firestarter,unsuspecting,tendancies,mike,montana,emma,partridges,consistency,olympian,hodgys,hosts,irresponsible,mapquest,relentlessly,charades,creampie
N.W.A.,ren,eazy,dre,dopeman,nwa,compton,yella,comptons,fk,cube,wayback,nigger,mothafuckin,tha,motherfking,mothafuckaz,dopemans,expressin,strawberry,police,coz,muthafuking,wren,dayz,fuck,motherfker,rens,mothafkin,de,ei,ruthless,iz,niggaz,wacky,alpine,awwwwww,bitch,alwayz,nwas,shit,swallowed,express,motherfkers,dup,noice,thu,qualify,kilo,appetite,slicky
Odd Future,hodgy,domo,wolf,odd,tyler,swag,jasper,cv,casey,wang,veggies,2dopeboyz,lisa,bitch,wolves,fuck,golf,inhaler,syd,clancy,balm,loiter,horny,fuckin,greatly,sweatshirt,earl,lames,travis,nigga,fucking,gang,preme,shouts,shit,storage,malaya,ensurin,muskets,klumps,fatass,berman,jergins,sagan,lettermans,meadows,customized,genesis,whiff,turnt
Schoolboy Q,chug,di,tote,q,na,brews,uuh,yawk,textin,schoolboy,hippy,cra,beez,oxycontin,continues,zoning,bruh,cycle,sexting,snooping,hiiipower,oxy,ching,groovy,quincy,niggas,ster,nigga,swag,titties,already,awwwwww,flexin,weed,guessin,chop,getter,shit,bounce,yawns,toupe,intention,minors,da,yay,figueroa,dogged,collard,pills,promises
Skee-Lo,skee,taller,crenshaw,baller,cheeseburger,impala,stairs,pounder,skeeter,hamburger,slowin,oriental,milkshake,cares,sympathy,misery,rabbit,64,lorraine,diet,smaller,beneath,lo,blt,skittle,wish,bat,mamma,salad,caused,coleman,sunday,layer,hooray,figaro,105,mookie,hatchback,110,waitin,waffles,reunited,shaw,bleachers,scat,persist,baye,yippee,mattlock,yai
Snoop Dogg,dogg,snoop,doggy,dogghouse,dpg,sensual,lbc,snoopy,deee,doggz,eastside,woof,daz,eruption,drip,gurlz,seduction,yippie,suwoop,kurupt,doggs,goldie,weee,dpgc,loc,doggfather,gangsta,cuh,fk,snoops,nigga,nate,crip,tray,mothafucker,eastsidaz,winning,bigg,motherfkin,tha,dancer,doggystyle,gz,niggas,na,shit,soopafly,pads,nephew,warren
Souls of Mischief,mischief,tajai,opio,phesto,hieroglyphics,93,hiero,phuk,snupe,limitations,souls,casual,heiroglyphics,hoz,sup,domino,oakland,surpass,stoke,arousing,educate,meditate,dosia,voluptuous,clockwork,impacts,colorless,ingesting,willed,doozy,redirect,incinerated,pizzaz,pep,reconsider,inter,postal,lindsey,greenbacks,youknowhatimsayin,breakneck,westbound,emulating,seducing,panache,axed,impending,descriptive,contention,op
Tha Dogg Pound,daz,kurupt,dogg,dpg,23s,wheelin,dpgc,tha,spokes,gangsta,gangstas,fk,doggs,nate,weighin,azz,gangstaz,dillinger,nigga,snoop,active,postin,dat,pum,poetical,cyco,bitch,gd,forgettin,niggas,motherfker,homeboys,cavi,concoct,pound,lawd,howl,iz,warren,stoplight,slipin,coastin,pussy,homies,llac,endz,hos,jus,aiyya,shit
The Game,compton,dre,unit,buddens,unot,powerhouse,colors,yayo,justo,purp,lloyd,westcoast,nigga,gga,1970,crips,bleek,impala,olivia,aftermath,niggas,fk,jayceon,california,nggas,50,eazy,snoop,banks,phantom,documentary,westside,shit,crip,dodgers,piru,ckin,chronic,bandana,hydraulics,64,niggah,aa,violin,bomaye,suge,bloods,kanye,gona,fortress
The Pharcyde,jiggaboo,downlow,fatlip,pharcyde,cyde,bootie,downstroke,farmer,yer,oui,onnn,somethins,manhood,underoos,reaped,tre,indoe,zag,moo,cmere,refrain,phar,seagull,cavin,towering,ahs,whisky,zig,otha,wantcha,flave,crawls,induce,grille,sustained,misery,ego,network,effected,clarify,everythings,backhand,silhouettes,jiggaboos,hoooooo,goyo,redesign,ragamuffin,merging,sicken
Tone Loc,uknowmsayin,medina,loc,westside,whaaa,sher,iff,behavior,medinas,sheena,funky,deputy,locs,swam,gangbangin,freaky,copasetic,yeeeaah,oes,cantina,buis,iiiiii,surveyor,humpy,ahhha,1966,kennys,schwin,locoi,fanz,hm,noooooooo,aves,dayum,spuds,engagin,ager,devastated,insanes,vaya,bikini,breaststroke,stacys,tacchini,hooter,20000,trimmin,hypeness,diaphragm,mckenzie
Too Short,hort,oakland,dit,oaktown,beyotch,dum,cootie,bitch,ditty,caint,pimpin,beotch,invasion,ant,hoes,bitches,player,sir,funk,hoe,short,players,beitch,notches,pimp,tales,ried,mackin,dawg,fuck,paints,fk,macking,shit,california,tramp,dangerous,goldy,banks,sucked,tender,pimps,foothill,incorporated,oak,muthafukin,yaht,nuthin,mack,vogues
"Tyler, the Creator",wang,slater,golf,wolf,tyler,bimmer,loiter,48,odd,haley,jasper,fucking,fuck,gnaw,salem,swag,hodgy,cowboy,preme,clancy,awkwardly,lurking,tamale,emo,raquel,domo,faggot,smacking,sams,2dopeboyz,bitch,unicorn,goblin,bubbled,axes,fuckin,hipster,kidnapping,yonkers,therapist,shit,slurpees,attacking,danielle,happiest,wolves,french,nigga,bruh,mindset
Warren G,warren,lbc,locc,nate,twinz,213,funk,ooooooo,hershey,youngstaz,dogg,malik,wats,mae,snoop,virgo,sagittarius,homeys,forgettin,eezy,loccs,regulate,gd,airborne,annie,pisces,tah,aquarius,aries,tighter,gz,violation,shack,whatchou,libra,virgin,kurupt,doggs,beach,lump,punkin,beeyatch,homey,brothas,scorpio,lumps,baghdad,g,capricorn,badass
